population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,20.062715889527205,26.48455739782661,14.522043763434212
1,All Population,2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,55.3356737936456,72.20762996923449,39.51571547232468
1,All Population,2,DALYs (Disability-Adjusted Life Years),36,Kazakhstan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,4807.9950373523825,5759.917176445816,4039.8256214859175
1,All Population,2,DALYs (Disability-Adjusted Life Years),36,Kazakhstan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,28.36918522312991,33.98592468981838,23.836663814068775
1,All Population,2,DALYs (Disability-Adjusted Life Years),36,Kazakhstan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,36.32799178003365,43.456092926319315,30.494324204815047
1,All Population,2,DALYs (Disability-Adjusted Life Years),20,Viet Nam,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,10177.599265061148,13478.938542405676,7670.052360854885
1,All Population,2,DALYs (Disability-Adjusted Life Years),20,Viet Nam,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,14.556400223583122,19.278104678958233,10.970008642777069
1,All Population,2,DALYs (Disability-Adjusted Life Years),20,Viet Nam,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,24.277825349050353,32.12344730761257,18.239627065782017
1,All Population,2,DALYs (Disability-Adjusted Life Years),39,Tajikistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,110.94636501822713,145.59519091907706,76.36080079753843
1,All Population,2,DALYs (Disability-Adjusted Life Years),39,Tajikistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,2.021050422113298,2.6522294986079484,1.391023749713839
1,All Population,2,DALYs (Disability-Adjusted Life Years),39,Tajikistan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,3.9229411803557768,5.1937782376945405,2.7002054683444614
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,222851.78060931095,302834.8897482684,166384.000446268
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,26.361895811246796,35.823370088076885,19.682129855235708
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,45.74153912243381,62.27980175629569,34.001771292037134
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,290.2385113079196,405.0742410095695,188.8719620561895
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,13.567671209084558,18.935854144650666,8.829127017794026
