year,age_id,age_name,countries_with_dalys,countries_with_vlw,total_dalys,total_dalys_lower,total_dalys_upper,total_economic_burden_vlw,total_economic_burden_vlw_lower,total_economic_burden_vlw_upper,total_economic_burden_vlw_trillion,total_economic_burden_vlw_lower_trillion,total_economic_burden_vlw_upper_trillion
2015,31,85-89 years,48,45,88254.90721005177,65556.75708733092,111600.9680518888,83714110420.32816,55329692242.077644,119522408100.92018,0.08371411042032816,0.05532969224207764,0.11952240810092019
2015,32,90-94 years,48,45,37767.72887266265,26750.086708484832,47742.55317984167,60375412724.54203,38041957300.75558,89168715806.95488,0.06037541272454203,0.038041957300755574,0.08916871580695487
2015,235,95+ years,48,45,13784.8827807998,9151.38295058522,17693.187452916623,35543667799.41777,20587323031.310135,53681409759.92633,0.03554366779941777,0.020587323031310136,0.05368140975992633
2016,1,<5 years,48,48,0,0,0,0,0,0,0,0,0
2016,6,5-9 years,48,48,0,0,0,0,0,0,0,0,0
2016,7,10-14 years,48,48,0,0,0,0,0,0,0,0,0
2016,8,15-19 years,48,48,0,0,0,0,0,0,0,0,0
2016,9,20-24 years,48,45,5178.956432268182,3670.732479838459,7340.3564871843555,191089857.23708203,134921116.143117,278277011.34237814,1.9108985723708205e-4,1.3492111614311702e-4,2.7827701134237816e-4
2016,10,25-29 years,48,45,9866.34184582256,7271.579299677791,13590.7223636101,421453941.8185663,308578497.21789515,604423828.5881716,4.214539418185663e-4,3.0857849721789517e-4,6.044238285881716e-4
2016,11,30-34 years,48,45,22709.111732345496,16545.146462279674,30437.114857184515,1025419574.3232356,732545618.1708283,1444744594.7746289,0.0010254195743232355,7.325456181708284e-4,0.0014447445947746288
2016,12,35-39 years,48,45,43147.78716602485,31391.865213277255,57660.622412950936,2124561247.457789,1515194487.6383276,3016741490.4742646,0.002124561247457789,0.0015151944876383276,0.003016741490474265
2016,13,40-44 years,48,45,79914.90485541336,58987.15393614117,105812.69512486024,4705892153.606677,3407593594.110175,6665879920.986914,0.0047058921536066774,0.003407593594110175,0.006665879920986914
2016,14,45-49 years,48,45,139107.84900223,105817.52729329983,183789.0756033051,9823964242.881742,7307463245.897879,13881759322.112667,0.009823964242881742,0.007307463245897879,0.013881759322112667
2016,15,50-54 years,48,45,209481.79068091794,163102.76879647482,285933.9951337829,18132178022.05111,13720397705.396566,26554024305.693897,0.01813217802205111,0.013720397705396566,0.026554024305693896
2016,16,55-59 years,48,45,247899.87790876193,187536.70036100614,333591.45242390793,25951395508.585575,19193848796.1445,37703005146.51842,0.025951395508585575,0.0191938487961445,0.03770300514651842
2016,17,60-64 years,48,45,341415.9254686488,262546.06116490363,446523.0675727237,45709648315.64543,34090950701.389584,64444589574.90677,0.04570964831564543,0.03409095070138958,0.06444458957490677
2016,18,65-69 years,48,45,336088.35355673835,267753.8718025131,435172.38312420424,62048363828.88958,47777288946.475464,86067238704.61746,0.06204836382888958,0.04777728894647546,0.08606723870461747
2016,19,70-74 years,48,45,270228.2320414086,214725.96554866512,345803.84329592047,67734584554.60503,51460621403.67763,93289374957.08003,0.06773458455460503,0.051460621403677624,0.09328937495708003
2016,20,75-79 years,48,45,222723.12373917468,176275.93168390074,285443.24505360355,83953851131.05592,62373637586.46228,116991671514.45398,0.08395385113105593,0.06237363758646228,0.11699167151445398
2016,30,80-84 years,48,45,166854.47182411686,128199.74753047914,206278.0729612882,96025622708.66898,67799023918.04359,131121897428.01674,0.09602562270866898,0.06779902391804359,0.13112189742801675
2016,31,85-89 years,48,45,92824.6253183545,68958.17184920688,117687.86500223268,87973211159.03772,57983064346.41468,126035679994.356,0.08797321115903772,0.05798306434641468,0.126035679994356
2016,32,90-94 years,48,45,40488.18670216951,28445.523761320186,51074.35829584301,64786776644.81355,40349020841.18226,95558101298.49106,0.06478677664481355,0.04034902084118226,0.09555810129849106
2016,235,95+ years,48,45,14707.959835359537,9663.026156347887,18721.234473852357,37730284847.554535,21547527662.908165,56694953020.58561,0.037730284847554536,0.021547527662908166,0.05669495302058561
2017,1,<5 years,48,48,0,0,0,0,0,0,0,0,0
2017,6,5-9 years,48,48,0,0,0,0,0,0,0,0,0
2017,7,10-14 years,48,48,0,0,0,0,0,0,0,0,0
2017,8,15-19 years,48,48,0,0,0,0,0,0,0,0,0
2017,9,20-24 years,48,46,5117.663760136586,3600.7954770209694,7174.756292496497,195724348.1228773,137604515.35810834,282642708.31487,1.957243481228773e-4,1.3760451535810834e-4,2.8264270831487e-4
2017,10,25-29 years,48,46,9615.789889442052,6998.639928968593,13391.978542695733,424774157.7612788,307974001.2046353,617288783.0759377,4.247741577612788e-4,3.079740012046353e-4,6.172887830759378e-4
2017,11,30-34 years,48,46,23156.85300732981,16900.57241236256,31446.38576409324,1081229471.9521987,774658973.2406064,1542594169.5308142,0.0010812294719521989,7.746589732406064e-4,0.001542594169530814
2017,12,35-39 years,48,46,43433.28523326374,31771.910740251744,58190.02206231547,2214091999.5287137,1584787447.3581042,3159293338.167373,0.0022140919995287138,0.0015847874473581042,0.003159293338167373
2017,13,40-44 years,48,46,79421.57614104409,58845.41974637363,106394.85230200521,4827541857.740539,3504039838.335161,6909066503.072962,0.004827541857740539,0.0035040398383351613,0.006909066503072962
2017,14,45-49 years,48,46,139823.30396476816,106725.95669701,186511.94808253442,10268734372.276924,7663326628.263141,14625781205.23116,0.010268734372276924,0.007663326628263141,0.01462578120523116
2017,15,50-54 years,48,46,213883.34544407626,166777.93560817192,292632.250342732,19219489459.857864,14536465743.53266,28307343068.81506,0.019219489459857863,0.01453646574353266,0.02830734306881506
2017,16,55-59 years,48,46,257308.9925082164,196251.48886621287,345554.3263298623,27932552953.20852,20773351974.22997,40663684108.90394,0.02793255295320852,0.02077335197422997,0.04066368410890394
2017,17,60-64 years,48,46,347863.9221489603,266062.8486150624,461293.8601646194,48042125691.91379,35689130593.174805,68761437588.46596,0.04804212569191379,0.03568913059317481,0.06876143758846595
2017,18,65-69 years,48,46,348296.20610774006,276648.27194338426,459957.14786609047,65972422382.35785,50487765537.97336,93326306338.55052,0.06597242238235784,0.05048776553797336,0.09332630633855052
2017,19,70-74 years,48,46,283455.4671172323,224369.0458171246,365989.33422871935,72925062501.26837,55059892718.79248,101339842827.26173,0.07292506250126837,0.05505989271879248,0.10133984282726173
2017,20,75-79 years,48,46,229226.36746273574,182650.35383727227,297950.4558538464,89345458074.12898,66711099642.843414,125883010660.46411,0.08934545807412898,0.06671109964284341,0.12588301066046412
2017,30,80-84 years,48,46,171795.40252705937,131979.72194200975,213773.73859511517,101818815937.20932,71746122122.0941,139745125214.64194,0.10181881593720932,0.0717461221220941,0.13974512521464194
